city,sector,orders_per_week,avg_weight_kg,business_model,pct_ultra_urgent,pct_same_day,pct_next_day,peak_hours,avg_distance_km,current_provider,curr_time_hr,curr_cost_aed,fail_rate_band,tracking_sat,delay_churn,eta_importance,fuel_pain,prem_fast_pct,top_pain,stops_per_route,traffic_level,dispatch_day,vehicle_type,fuel_price,cost_threshold_aedkm,time_value_aed,wage_share_pct,maint_cost_aedkm,fuel_strategy,overall_csat,renew_intent,nps,switch_past,repeat_speed_impact,trust_ai,ai_dashboard_influence,choose_speed_equalcost,ai_worry,ai_cost_saving_est,growth_pct_nextyr,expand_timeline,launch_zone_pref,season_peaks,beta_opt_in,api_integration,returns_pct,co2_importance,analytics_usage,contract_term_pref
Dubai,Other,14.0,1.81,B2B,27.7,31.0,41.3,"12-3 PM,3-6 PM,9 AM-12",15.5,In-house,7.8,17.13,>10 %,4.0,5.0,3.0,4.0,7.9,Cost overruns,6.0,Moderate,Equally both,Mix,2.89,3.36,8.0,37.2,0.95,Raise delivery fee,4.0,3.0,8.0,No,3.0,3.0,4.0,2.0,Tech failures,14.3,32.1,No plans,Abu Dhabi suburbs,None,No,No,39.0,3.0,4.0,2+ years
Dubai,Food-delivery,10.0,4.22,Both,11.1,52.4,36.5,9 AM-12,23.4,Aramex,2.8,15.31,1-3 %,1.0,3.0,5.0,4.0,2.5,Cost overruns,4.0,Moderate,Weekends,Van,2.75,3.97,16.75,20.6,0.81,Raise delivery fee,3.0,1.0,8.0,No,2.0,5.0,5.0,4.0,Data privacy,5.1,28.1,No plans,Dubai core,,Yes,No,12.9,3.0,5.0,Month-to-month
Abu Dhabi,Electronics,16.0,1.74,B2B,22.0,29.7,48.3,6-9 PM,12.3,Competitor A,5.0,56.22,<1 %,4.0,5.0,3.0,3.0,6.1,Cost overruns,7.0,Moderate,Weekdays,Bike,2.75,6.68,7.6,25.7,0.73,Raise delivery fee,3.0,3.0,4.0,No,4.0,1.0,3.0,5.0,Data privacy,11.9,32.2,No plans,Northern Emirates,"Ramadan,Back-to-School",No,No,69.8,2.0,4.0,6 months
Dubai,Grocery/Retail,61.0,5.95,B2B,17.8,52.0,30.3,"6-9 PM,6-9 AM,12-3 PM",46.4,In-house,5.2,64.2,1-3 %,2.0,4.0,3.0,2.0,9.4,Delay,8.0,Moderate,Weekdays,Van,3.29,4.19,9.51,38.7,0.67,Absorb cost,5.0,3.0,8.0,No,5.0,5.0,3.0,5.0,Driver adoption,9.0,7.6,3 mo,Dubai core,"DSF,Back-to-School,Eid",No,No,18.6,5.0,4.0,1 year
Abu Dhabi,Grocery/Retail,18.0,3.77,Both,23.5,50.6,25.9,"6-9 AM,6-9 PM",10.3,Aramex,27.5,11.98,1-3 %,3.0,3.0,5.0,1.0,7.7,Damaged goods,5.0,Moderate,Equally both,Van,3.12,2.84,15.07,42.5,0.54,Reduce service area,3.0,5.0,2.0,No,4.0,4.0,4.0,4.0,Tech failures,5.0,-1.7,12 mo+,Sharjah industrial,Ramadan,No,Yes,32.5,1.0,4.0,Month-to-month
Dubai,E-commerce,6.0,6.06,B2C,16.7,66.5,16.9,3-6 PM,32.3,Other,13.0,18.04,3-5 %,4.0,5.0,5.0,4.0,3.8,Billing errors,4.0,Light,Weekends,Van,3.05,2.63,44.04,37.6,0.92,Switch provider,5.0,4.0,6.0,No,3.0,5.0,4.0,4.0,Data privacy,8.8,16.8,6 mo,Dubai core,"Eid,DSF,Ramadan",Yes,Yes,16.2,3.0,3.0,6 months
Sharjah,Grocery/Retail,10.0,0.78,B2B,19.1,60.5,20.4,12-3 PM,6.1,Other,5.1,26.16,<1 %,5.0,4.0,2.0,4.0,20.3,Poor support,4.0,Moderate,Weekdays,Van,2.82,3.12,10.76,32.3,0.68,Raise delivery fee,4.0,5.0,1.0,No,5.0,4.0,4.0,5.0,Tech failures,4.2,19.9,No plans,Dubai core,"Eid,Ramadan",Yes,Yes,7.9,3.0,4.0,1 year
Sharjah,Electronics,78.0,1.16,B2C,18.8,44.6,36.7,"9 AM-12,6-9 AM,6-9 PM",22.8,Fetchr,18.5,21.04,5-10 %,2.0,5.0,5.0,46.9101085641818,12.6,Delay,1.0,Light,Weekdays,Van,2.83,4.74,11.69,31.0,0.79,Raise delivery fee,5.0,4.0,6.0,No,4.0,3.0,5.0,4.0,Tech failures,2.7,14.3,12 mo+,Northern Emirates,Eid,Yes,No,48.1,2.0,5.0,Month-to-month
Dubai,Electronics,68.0,7.21,B2B,27.4,46.9,25.7,"6-9 AM,3-6 PM,6-9 PM",31.4,Fetchr,19.5,20.58,1-3 %,4.0,4.0,4.0,2.0,4.4,Delay,9.0,Moderate,Weekdays,Van,3.33,3.56,12.63,40.1,0.73,Raise delivery fee,4.0,5.0,10.0,No,4.0,3.0,5.0,3.0,Tech failures,8.8,3.1,6 mo,Abu Dhabi suburbs,,Yes,Yes,14.4,3.0,3.0,2+ years
Sharjah,Pharma & Med-supplies,32.0,2.16,B2B,19.6,68.3,12.1,"3-6 PM,9 AM-12,6-9 PM",12.2,Other,16.9,25.24,1-3 %,2.0,4.0,3.0,2.0,5.3,Cost overruns,8.0,Light,Weekdays,Van,2.91,4.38,6.6,32.0,0.59,Absorb cost,5.0,4.0,10.0,No,3.0,4.0,3.0,4.0,Data privacy,7.3,14.5,6 mo,Dubai core,"Back-to-School,Ramadan",Yes,No,15.1,3.0,2.0,1 year
Sharjah,Grocery/Retail,5.0,1.38,B2B,17.8,52.7,29.5,"6-9 AM,3-6 PM,12-3 PM",32.9,In-house,12.6,16.87,3-5 %,5.0,5.0,4.0,2.0,14.2,Delay,4.0,Heavy,Weekdays,Mix,3.11,2.5,27.03,23.3,1.18,Switch provider,5.0,4.0,0.0,No,2.0,5.0,3.0,5.0,None,4.6,25.1,No plans,Northern Emirates,None,No,Yes,21.4,2.0,5.0,1 year
Dubai,Electronics,25.0,2.94,B2C,40.8,29.4,29.9,"12-3 PM,9 AM-12,6-9 PM",24.0,Fetchr,14.8,55.59,3-5 %,2.0,4.0,4.0,1.0,13.4,Cost overruns,6.0,Moderate,Weekdays,N/A,3.15,3.83,14.98,28.0,1.11,Raise delivery fee,4.0,4.0,0.0,Yes,5.0,1.0,4.0,4.0,None,6.0,14.9,6 mo,Northern Emirates,None,Yes,Yes,25.4,4.0,5.0,1 year
Dubai,Grocery/Retail,27.0,3.84,B2B,20.5,50.3,29.2,6-9 AM,18.2,Aramex,7.8,80.44,3-5 %,5.0,4.0,4.0,2.0,9.7,Delay,7.0,Light,Weekdays,Mix,3.01,3.16,10.55,37.5,1.21,Raise delivery fee,3.0,4.0,8.0,No,5.0,4.0,1.0,4.0,Driver adoption,5.1,17.9,12 mo+,Dubai core,,Yes,Yes,26.3,4.0,5.0,6 months
Abu Dhabi,Other,20.0,3.02,Both,5.5,78.9,15.6,"3-6 PM,9 AM-12,6-9 PM",26.6,Aramex,15.8,12.71,5-10 %,3.0,5.0,4.0,2.0,100.0,Delay,6.0,Light,Weekdays,Mix,2.82,5.07,6.58,38.6,0.92,Raise delivery fee,3.0,2.0,2.0,No,3.0,4.0,5.0,4.0,Driver adoption,6.9,28.6,3 mo,Northern Emirates,,Yes,Yes,61.1,2.0,4.0,1 year
Dubai,Manufacturing,12.0,4.4,Both,7.0,65.1,27.9,"3-6 PM,6-9 PM",60.0,Competitor A,12.9,36.18,3-5 %,1.0,2.0,4.0,4.0,6.2,Delay,4.0,Heavy,Weekdays,Van,3.1,2.82,9.86,25.7,0.7,Raise delivery fee,5.0,4.0,10.0,Yes,3.0,3.0,4.0,4.0,Tech failures,11.6,19.7,No plans,Dubai core,,No,No,9.0,5.0,5.0,1 year
Dubai,E-commerce,15.0,4.05,B2B,8.3,75.3,16.5,6-9 PM,28.9,Aramex,4.6,44.16,5-10 %,1.0,5.0,1.0,4.0,6.0,Poor support,3.0,Moderate,Weekends,Van,3.01,3.68,6.43,40.1,0.85,Reduce service area,5.0,2.0,5.0,Yes,3.0,4.0,5.0,4.0,None,6.0,30.2,No plans,Sharjah industrial,"Eid,DSF,Year-end",No,Yes,15.4,2.0,5.0,1 year
Dubai,E-commerce,12.0,3.93,B2C,9.6,25.6,64.8,12-3 PM,10.8,Competitor A,8.9,17.26,<1 %,3.0,4.0,4.0,1.0,7.6,Billing errors,6.0,Moderate,Weekdays,Van,3.13,4.92,5.26,27.9,0.92,Raise delivery fee,3.0,3.0,5.0,No,3.0,4.0,4.0,4.0,Tech failures,6.0,27.3,6 mo,Abu Dhabi suburbs,"DSF,Ramadan,Eid",Yes,Yes,27.0,2.0,4.0,1 year
Sharjah,Electronics,8.0,7.46,B2C,30.5,51.2,18.3,"3-6 PM,9 AM-12",12.6,Aramex,12.1,10.98,5-10 %,1.0,4.0,3.0,2.0,11.2,Damaged goods,8.0,Heavy,Weekends,Van,2.84,3.88,13.18,42.4,0.89,Absorb cost,3.0,4.0,10.0,No,5.0,4.0,5.0,5.0,None,10.2,29.6,3 mo,Dubai core,"Year-end,Back-to-School",Yes,No,20.6,3.0,4.0,2+ years
Abu Dhabi,Pharma & Med-supplies,59.0,3.29,B2C,27.3,69.0,3.7,"3-6 PM,9 AM-12",13.1,Competitor A,5.4,26.88,1-3 %,2.0,4.0,5.0,4.0,4.9,Cost overruns,7.0,Moderate,Weekdays,Mix,3.1,5.4,5.41,22.4,0.59,Raise delivery fee,4.0,4.0,4.0,No,3.0,4.0,4.0,3.0,Data privacy,14.4,19.2,3 mo,Dubai core,"DSF,Back-to-School,Ramadan",Yes,No,59.9,3.0,4.0,6 months
Sharjah,Food-delivery,40.0,3.23,B2C,8.0,79.0,13.0,"6-9 AM,9 AM-12,12-3 PM",17.6,Aramex,10.4,21.13,1-3 %,1.0,4.0,5.0,3.0,4.9,Poor support,1.0,Moderate,Weekdays,Van,3.18,3.1,10.18,16.4,0.65,Raise delivery fee,4.0,3.0,2.0,Yes,5.0,2.0,4.0,5.0,Tech failures,0.7,31.1,3 mo,Abu Dhabi suburbs,Ramadan,Yes,Yes,40.6,3.0,4.0,2+ years
Sharjah,E-commerce,15.0,5.37,B2C,17.2,60.9,21.9,"6-9 AM,3-6 PM,12-3 PM",32.1,Aramex,7.8,23.42,5-10 %,5.0,5.0,4.0,3.0,16.5,Billing errors,5.0,Moderate,Weekdays,N/A,2.98,5.0,6.62,24.0,0.53,Raise delivery fee,4.0,4.0,10.0,Yes,5.0,4.0,4.0,3.0,Tech failures,4.6,7.1,6 mo,Dubai core,Ramadan,No,Yes,18.5,3.0,3.0,6 months
Abu Dhabi,E-commerce,26.0,4.63,B2B,29.1,50.1,20.8,"6-9 PM,6-9 AM,3-6 PM",37.6,Competitor B,5.0,42.83,1-3 %,5.0,5.0,2.0,2.0,6.2,Poor support,1.0,Light,Weekends,Van,26.968507318993,4.21,13.74,31.7,0.39,Absorb cost,3.0,4.0,6.0,No,2.0,5.0,5.0,3.0,Tech failures,18.0,11.3,6 mo,Sharjah industrial,"Ramadan,Year-end",Yes,No,18.3,5.0,5.0,Month-to-month
